id_idioma_1;id_idioma_2;ds_frase_idioma_1;ds_frase_idioma_2;ds_frase_idioma_2_observacao;nm_arquivo_imagem;nm_arquivo_som
1;2;Livra-me tu!;Xe pysyr‰ åepÇ!;Citaá∆o: Anch., Teatro, 48;;
1;2;Espalham pelas aldeias homens que pregam Ös pessoas.;Ap?aba ab† mombegñara oåmos∆å taba rupi...;Citaá∆o: Valente, Cantigas, IV, in Ar., Cat., 1618;;
1;2;Que °ndios s∆o esses?;Mba'e ap?abap'aåp¢?;Citaá∆o: Anch., Teatro, 142, 2006;;
1;2;rapaz (por desprezo, pejorativo);kunum?-a'uba;Citaá∆o: VLB, II, 96;;
1;2;Eu tenho muito preáo.;Xe repy-et†.;Citaá∆o: VLB, I, 88;;
1;2;Ele Ç grande.;Xe reburusu. - Eu sou grande. Seburusu;Citaá∆o: Anch., Arte, 13v;;
1;2;Eu tenho olhos tortos.;Xe py-bang. - Eu tenho os pÇs tortos. Xe res†-bang.;Citaá∆o: VLB, II, 133;;
1;2;Pedro foi primeiro.;Pedro ranh? os¢.;Citaá∆o: Anch., Arte, 45v;;
1;2;de que parte de, de que lugar espec°fico? (P.ex., perguntando a alguÇm que vem de Paraguaáu de qual das fazendas ali situadas ele vem.);um∆ su°-katu?;Citaá∆o: VLB, I, 95;;
1;2;Tenho medo, tremo!;...AsykyåÇ, aryryå!;Citaá∆o: Anch., Teatro, 62;;
1;2;Deste as coisas sumidas que tu achaste para seu dono?;Ereåme'engype mba'e-kanhema nde basemagñera i åara supÇ?;Citaá∆o: Ar., Cat., 107;;
1;2;O homem, ao morrer um filho seu, fica longamente em pranto.;Ab†... o a'yra... re'‰neme oåase'o-erek¢-puku...;Citaá∆o: Ar., Cat., 156;;
1;2;os que foram seus companheiros, seus ex-companheiros;ir?mbñera;Citaá∆o: Anch., Teatro, 46;;
1;2;Fiquei em pranto.;Aåase'o-rek¢.;Citaá∆o: VLB, I, 73;;
1;2;Segundo seu costume, certamente Deus perdoar† a ti, afinal.;O poekñabo ip¢ Tup∆ nhyr‰namo ndebe ko'ytÇne.;Citaá∆o: Anch., Doutr. Crist∆, II, 94;;
1;2;Cavei-o duramente.;Asybykoå-at∆.;Citaá∆o: VLB, I, 107;;
1;2;Aáoito gente frequentemente.;Xe poronup∆ åaby.;Citaá∆o: Anch., Arte, 51v;;
1;2;Tomei-o Ös costas.;Aåar xe aseå.;Citaá∆o: VLB, II, 131;;
1;2;Eu tenho mestre.;Xe porombo'esar.;Citaá∆o: Anch., Arte, 48;;
1;2;Pagou outrora por seu proceder assim?;Osepyme'engype erimba'e emon∆ o ekoagñera...?;Citaá∆o: Anch., Doutr. Crist∆, I, 163;;
1;2;Os °ndios atacar†s.;...Ap?aba eresepenh∆ne.;Citaá∆o: Anch., Teatro, 20;;
1;2;E agora?;ko'yr Ç-katuetÇpe?;Citaá∆o: VLB, I, 24;;
1;2;N¢s nos combatemos uns aos outros.;Oroåogñerek¢.;Citaá∆o: VLB, I, 77;;
1;2;N∆o sejas mentiroso por causa de ninguÇm.;Nde remo'em um? ab† resÇ...;Citaá∆o: Ar., Cat., 73v;;
1;2;Eis que este Ç disc°pulo de Jesus.;Iesus boå† ∆ ik¢...;Citaá∆o: Ar., Cat., 57;;
1;2;Eis que minha alma, lugar de tua vinda, h† de estar como teu leito.;K¢ xe 'anga, nde rusaba, nde rupabamo t'oåk¢.;Citaá∆o: Anch., Poemas, 128;;
1;2;Atra°ste alguma mulher para junto de teu pr¢ximo?;Ereåmonhar‰pe kunh∆ am‰ nde rapixara pyri?;Citaá∆o: Anch., Doutr. Crist∆, II, 91;;
1;2;Sofrer† tambÇm alguma coisa ali estando?;Oåporar† abÇpe mba'e am‰ eboñ?me oåk¢bone?;Citaá∆o: Ar., Cat., 63;;
1;2;Suportando o choro, o menino belo est† deitado.;◊ase'o poraras†pe, kunum?-poranga ruå.;Citaá∆o: Anch., Poemas, 164;;
1;2;Tapei-o.;Asesaatyk†.;Citaá∆o: VLB, II, 124;;
1;2;o que estava Ö sua direita (isto Ç, a companhia do lado da sua m∆o direita);...i 'ekatñaba kotysaba Ç...;Citaá∆o: Anch., Di†l. da FÇ, 190;;
1;2;Eu estou £mido.;Xe akyma°b.;Citaá∆o: VLB, II, 20;;
1;2;Tendo alegria ap¢s sua morte.;...O man‰ rirÇ toryba rerek¢bo...;Citaá∆o: Anch., Teatro, 54;;
1;2;ê dif°cil para mim tent†-los.;I aba° xebo sa'anga.;Citaá∆o: Anch., Teatro, 16;;
1;2;Guarda-te de abandonar tua obra.;Teum? nde rek¢ mote'ebo.;Citaá∆o: VLB, I, 130;;
1;2;Que n∆o aconteáa de alguma coisa te deixar ignorante.;...Te'itenheum? mba'e am‰ nde motekokuabe'yma...;Citaá∆o: Ar., Cat., 157v;;
1;2;afastando o diabo;...anhanga pe'abo...;Citaá∆o: Anch., Poemas, 108;;
1;2;O que n∆o repete seus antigos pecados.;O angaåpagñera reroåebysare'yma.;Citaá∆o: Ar., Cat., 169;;
1;2;cacos de pedra;it†-pesembñera;Citaá∆o: VLB, II, 127;;
1;2;Pelo sinal da Santa Cruz livra-nos tu...;Santa Cruz ra'angaba resÇ orÇ pysyr‰ åepÇ...;Citaá∆o: Anch., Doutr. Crist∆, I, 139;;
1;2;N∆o s∆o segundo a quantidade deles os peixes que ele apanha (isto Ç, o que ele pesca Ç muito aquÇm dos peixes que h†).;N'i å†å pir† sembiara.;Citaá∆o: VLB, II, 16;;
1;2;Eu vivo papeando.;Xe nhe'engixñer gñitek¢bo.;Citaá∆o: VLB, II, 64;;
1;2;Por que libertas aquele por quem nos cansamos?;Mar∆pe ereåpysyr‰ orÇ kane'‰agñera?;Citaá∆o: Anch., Teatro, 180, 2006;;
1;2;Tu foste chocarreira, estando deitada sobre teu pr¢ximo?;Nde ar?a°pe nde rapixara 'arybo eåupa?;Citaá∆o: Ar., Cat., 235;;
1;2;Por que alguÇm se casa?;Mba'erama resÇpe ab† mendari?;Citaá∆o: Ar., Cat., 95;;
1;2;Que coisa buscas?;Mba'e resÇpe ereåk¢?;Citaá∆o: VLB, II, 92;;
1;2;Coze o peixe.;Emoåyb pir†.;Citaá∆o: LÇry, Histoire, 367;;
1;2;Pus o sapato.;Aåpyapas†-mondeb.;Citaá∆o: VLB, I, 63;;
1;2;Isso Ç referente a mim, isso Ç o que me concerne.;Xe resendñara ebokñea.;Citaá∆o: VLB, II, 74;;
